PRICES
2.89
2.79
2.74
2.67
2.62
2.71
2.8
2.8
2.67
2.69
2.66
2.61
2.63
2.64
2.73
2.78
2.8
2.88
2.99
3.08
3.04
2.88
3.04
3.08
3.05
2.91
2.66
2.37
2.39
2.31
2.28
2.28
2.12
2
2.09
2.33
2.56
2.22
2.09
2.09
1.96
1.91
2.1
2.03
1.89
1.91
1.9
1.88
2.32
2.42
2.72
2.77
3.09
3.27
3.39
3.17
3.1
3.24
3.06
3.03
2.72
2.48
2.3
2.11
2.21
2.41
2.43
2.31
2.33
2.39
2.68
2.67
3.05
3.06
2.92
2.87
2.94
3.14
2.99
2.9
2.96
3.06
2.98
2.79
2.96
2.99
2.81
2.69
2.62
2.52
2.49
2.4
2.41
2.42
2.36
2.3
2.29
2.16
2.13
2.26
2.39
2.19
2.17
2.13
2.21
2.34
2.26
2.21
2.29
2.11
1.99
2.1
1.97
1.86
1.78
2
2.03
1.98
1.99
1.94
2.03
2.02
2
1.92
1.92
1.82
1.76
2.16
2.22
2.42
2.48
2.62
